mmsi,timestamp,vessel_proximity
218719092,2023-03-15 01:30:00+00,"[232345740, 232006548]"
218719092,2023-03-15 02:30:00+00,"[232345740, 232006548]"
218719092,2023-03-15 03:30:00+00,"[232345740, 232006548]"
218719092,2023-03-15 04:30:00+00,"[232345740, 232006548]"
218719092,2023-03-15 05:30:00+00,"[232345740, 232006548]"
218719092,2023-03-15 06:30:00+00,"[232006548, 232345740, 889799564]"
218719092,2023-03-15 07:30:00+00,"[232345740, 889799564]"
218719092,2023-03-15 08:30:00+00,"[889799564, 232345740]"
218719092,2023-03-15 09:30:00+00,"[889799564, 232345740]"
232006548,2023-03-15 00:30:00+00,[232345740]
232006548,2023-03-15 01:30:00+00,"[232345740, 218719092, 875832716]"
232006548,2023-03-15 02:30:00+00,"[218719092, 232345740]"
232006548,2023-03-15 03:30:00+00,"[218719092, 232345740]"
232006548,2023-03-15 04:30:00+00,"[218719092, 232345740]"
232006548,2023-03-15 05:30:00+00,"[218719092, 232345740]"
232006548,2023-03-15 06:30:00+00,"[232345740, 875832716, 218719092]"
232006548,2023-03-15 07:30:00+00,[875832716]
232006548,2023-03-15 08:30:00+00,[875832716]
232006548,2023-03-15 09:30:00+00,[875832716]
232006548,2023-03-15 10:30:00+00,[875832716]
232006548,2023-03-22 14:30:00+00,[875832716]
232006548,2023-03-22 15:30:00+00,[232345740]
232345740,2023-03-15 00:30:00+00,[232006548]
232345740,2023-03-15 01:30:00+00,"[218719092, 232006548]"
232345740,2023-03-15 02:30:00+00,"[218719092, 232006548]"
232345740,2023-03-15 03:30:00+00,"[218719092, 232006548]"
232345740,2023-03-15 04:30:00+00,"[218719092, 232006548]"
232345740,2023-03-15 05:30:00+00,"[218719092, 232006548]"
232345740,2023-03-15 06:30:00+00,"[232006548, 889799564, 218719092]"
232345740,2023-03-15 07:30:00+00,"[889799564, 218719092]"
232345740,2023-03-15 08:30:00+00,"[889799564, 218719092]"
232345740,2023-03-15 09:30:00+00,"[889799564, 218719092]"
232345740,2023-03-17 13:30:00+00,[875832716]
232345740,2023-03-22 15:30:00+00,[232006548]
352656000,2023-03-24 04:34:46+00,"[352656000, 352656000]"
352656000,2023-03-24 04:56:09+00,"[352656000, 352656000]"
518998309,2023-03-24 04:23:52+00,"[518998309, 518998309]"
518998309,2023-03-24 04:59:46+00,"[518998309, 518998309]"
563014650,2023-03-24 04:24:06+00,"[563014650, 563014650]"
563014650,2023-03-24 04:58:36+00,"[563014650, 563014650]"
563078430,2023-03-24 04:25:51+00,"[563078430, 563078430]"
563078430,2023-03-24 04:58:52+00,"[563078430, 563078430]"
564780000,2023-03-24 04:31:57+00,"[564780000, 564780000]"
564780000,2023-03-24 04:58:16+00,"[564780000, 564780000]"
565761000,2023-03-24 04:44:17+00,"[565761000, 565761000]"
565761000,2023-03-24 04:55:18+00,"[565761000, 565761000]"
875832716,2023-03-15 01:30:00+00,[232006548]
875832716,2023-03-15 06:30:00+00,[232006548]
875832716,2023-03-15 07:30:00+00,[232006548]
875832716,2023-03-15 08:30:00+00,[232006548]
875832716,2023-03-15 09:30:00+00,[232006548]
875832716,2023-03-15 10:30:00+00,[232006548]
875832716,2023-03-17 13:30:00+00,[232345740]
875832716,2023-03-22 14:30:00+00,[232006548]
889799564,2023-03-15 06:30:00+00,"[232345740, 218719092]"
889799564,2023-03-15 07:30:00+00,"[232345740, 218719092]"
889799564,2023-03-15 08:30:00+00,"[232345740, 218719092]"
889799564,2023-03-15 09:30:00+00,"[218719092, 232345740]"
